time,s1,s2,s3,s4,s5,s6,s7,s8
1398489180,380.7380951,402.7304,360.3830801,356.710769,nan,nan,nan,nan
1398489181,388.8890385,390.7304,363.5689207,356.710769,nan,nan,nan,nan
1398489184,367.6965856,378.7304,360.3830801,361.9030767,nan,nan,nan,nan
1398489186,379.1079064,390.7304,363.5689207,358.4415382,nan,nan,nan,nan
1398489187,395.4097932,390.7304,366.7547614,360.1723075,nan,nan,nan,nan
1398489188,392.1494158,414.7304,366.7547614,363.6338459,nan,nan,nan,nan
1398489189,392.1494158,390.7304,360.3830801,363.6338459,nan,nan,nan,nan
1398489190,369.3267743,390.7304,357.1972394,356.710769,nan,nan,nan,nan
1398489192,362.8060196,378.7304,363.5689207,353.2492305,nan,nan,nan,nan
1398489193,374.2173403,390.7304,360.3830801,356.710769,nan,nan,nan,nan
1398489194,392.1494158,402.7304,369.9406021,367.0953844,nan,nan,nan,nan
1398489195,398.6701706,402.7304,363.5689207,370.5569229,nan,nan,nan,nan
1398489197,388.8890385,390.7304,366.7547614,367.0953844,nan,nan,nan,nan
1398489198,374.2173403,390.7304,360.3830801,358.4415382,nan,nan,nan,nan
1398489199,372.5871516,390.7304,357.1972394,351.5184613,nan,nan,nan,nan
1398489200,375.847529,402.7304,360.3830801,348.0569228,nan,nan,nan,nan
1398489201,379.1079064,378.7304,363.5689207,356.710769,nan,nan,nan,nan
1398489204,379.1079064,366.7304,360.3830801,363.6338459,nan,nan,nan,nan
1398489205,377.4777177,402.7304,363.5689207,356.710769,nan,nan,nan,nan
1398489206,375.847529,378.7304,363.5689207,354.9799997,nan,nan,nan,nan
1398489207,377.4777177,390.7304,363.5689207,360.1723075,nan,nan,nan,nan
1398489209,393.7796045,390.7304,366.7547614,365.3646152,nan,nan,nan,nan
1398489210,401.9305479,390.7304,369.9406021,363.6338459,nan,nan,nan,nan
1398489212,367.6965856,354.7304,357.1972394,356.710769,nan,nan,nan,nan
1398489214,357.9154535,378.7304,357.1972394,346.3261536,nan,nan,nan,nan
1398489215,361.1758309,390.7304,354.0113987,344.5953843,nan,nan,nan,nan
1398489216,366.0663969,390.7304,360.3830801,351.5184613,nan,nan,nan,nan
1398489217,380.7380951,402.7304,366.7547614,367.0953844,nan,nan,nan,nan
1398489219,413.3418687,402.7304,376.3122835,382.6723076,nan,nan,nan,nan
1398489220,423.1230008,414.7304,379.4981241,377.4799999,nan,nan,nan,nan
1398489221,400.3003592,402.7304,360.3830801,363.6338459,nan,nan,nan,nan
1398489222,351.503378,366.7304,350.825558,348.0569228,nan,nan,nan,nan
1398489225,359.5456422,378.7304,360.3830801,342.8646151,nan,nan,nan,nan
1398489227,405.1909253,426.7304,376.3122835,382.6723076,nan,nan,nan,nan
1398489228,408.4513026,402.7304,379.4981241,386.1338461,nan,nan,nan,nan
1398489229,405.1909253,390.7304,376.3122835,379.2107691,nan,nan,nan,nan
1398489230,393.7796045,390.7304,363.5689207,365.3646152,nan,nan,nan,nan
1398489232,366.0663969,390.7304,350.825558,344.5953843,nan,nan,nan,nan
1398489233,346.612812,366.7304,354.0113987,348.0569228,nan,nan,nan,nan
1398489235,387.2588498,402.7304,363.5689207,360.1723075,nan,nan,nan,nan
1398489236,393.7796045,402.7304,366.7547614,367.0953844,nan,nan,nan,nan
1398489237,390.5192271,402.7304,366.7547614,370.5569229,nan,nan,nan,nan
1398489239,383.9984724,390.7304,366.7547614,363.6338459,nan,nan,nan,nan
1398489241,387.2588498,402.7304,360.3830801,354.9799998,nan,nan,nan,nan
1398489242,380.7380951,390.7304,360.3830801,356.710769,nan,nan,nan,nan
1398489243,377.4777177,390.7304,357.1972394,358.4415382,nan,nan,nan,nan
1398489244,374.2173403,390.7304,360.3830801,356.710769,nan,nan,nan,nan
1398489246,377.4777177,390.7304,366.7547614,358.4415382,nan,nan,nan,nan
1398489248,380.7380951,378.7304,369.9406021,365.3646152,nan,nan,nan,nan
1398489249,385.6286611,402.7304,366.7547614,363.6338459,nan,nan,nan,nan
1398489250,387.2588498,390.7304,366.7547614,361.9030767,nan,nan,nan,nan
1398489251,374.2173403,390.7304,360.3830801,356.710769,nan,nan,nan,nan
1398489252,375.847529,390.7304,360.3830801,353.2492305,nan,nan,nan,nan
1398489254,395.4097932,378.7304,369.9406021,367.0953844,nan,nan,nan,nan
1398489256,397.0399819,402.7304,369.9406021,368.8261537,nan,nan,nan,nan
1398489257,379.1079064,390.7304,363.5689207,365.3646152,nan,nan,nan,nan
1398489258,357.9154535,378.7304,354.0113987,349.787692,nan,nan,nan,nan
1398489259,377.4777177,378.7304,366.7547614,354.9799998,nan,nan,nan,nan
1398489262,398.6701706,390.7304,373.1264428,379.2107691,nan,nan,nan,nan
1398489263,403.5607366,390.7304,373.1264428,380.9415383,nan,nan,nan,nan
1398489264,398.6701706,390.7304,366.7547614,367.0953844,nan,nan,nan,nan
1398489265,372.5871516,390.7304,360.3830801,349.787692,nan,nan,nan,nan
1398489268,361.1758309,378.7304,357.1972394,349.787692,nan,nan,nan,nan
1398489271,398.6701706,414.7304,366.7547614,370.5569229,nan,nan,nan,nan
1398489272,397.0399819,390.7304,369.9406021,374.0184614,nan,nan,nan,nan
1398489273,397.0399819,390.7304,369.9406021,370.5569229,nan,nan,nan,nan
1398489274,390.5192271,402.7304,363.5689207,358.4415382,nan,nan,nan,nan
1398489275,375.847529,414.7304,357.1972394,351.5184613,nan,nan,nan,nan
1398489278,372.5871516,366.7304,360.3830801,354.9799998,nan,nan,nan,nan
1398489279,387.2588498,390.7304,360.3830801,358.4415382,nan,nan,nan,nan
1398489280,387.2588498,402.7304,363.5689207,358.4415382,nan,nan,nan,nan
1398489281,383.9984724,378.7304,369.9406021,365.3646152,nan,nan,nan,nan
1398489283,379.1079064,390.7304,366.7547614,361.9030767,nan,nan,nan,nan
1398489284,387.2588498,390.7304,363.5689207,358.4415382,nan,nan,nan,nan
1398489285,388.8890385,402.7304,360.3830801,361.9030767,nan,nan,nan,nan
1398489287,379.1079064,402.7304,363.5689207,360.1723075,nan,nan,nan,nan
1398489288,375.847529,390.7304,363.5689207,356.710769,nan,nan,nan,nan
1398489289,377.4777177,402.7304,360.3830801,353.2492305,nan,nan,nan,nan
1398489291,383.9984724,402.7304,369.9406021,363.6338459,nan,nan,nan,nan
1398489292,388.8890385,414.7304,366.7547614,367.0953844,nan,nan,nan,nan
1398489293,392.1494158,378.7304,366.7547614,363.6338459,nan,nan,nan,nan
1398489294,383.9984724,366.7304,357.1972394,358.4415382,nan,nan,nan,nan
1398489295,359.5456422,390.7304,350.825558,353.2492305,nan,nan,nan,nan
1398489298,379.1079064,402.7304,366.7547614,356.710769,nan,nan,nan,nan
1398489299,393.7796045,402.7304,369.9406021,360.1723075,nan,nan,nan,nan
1398489300,408.4513026,390.7304,369.9406021,377.4799999,nan,nan,nan,nan
1398489301,403.5607366,390.7304,369.9406021,377.4799999,nan,nan,nan,nan
1398489303,385.6286611,390.7304,360.3830801,358.4415382,nan,nan,nan,nan
1398489304,362.8060196,366.7304,350.825558,342.8646151,nan,nan,nan,nan
1398489305,353.1335667,390.7304,354.0113987,341.1338458,nan,nan,nan,nan
1398489306,362.8060196,390.7304,360.3830801,349.787692,nan,nan,nan,nan
1398489307,382.3682837,378.7304,369.9406021,363.6338459,nan,nan,nan,nan
1398489309,398.6701706,402.7304,373.1264428,375.7492306,nan,nan,nan,nan
1398489311,397.0399819,402.7304,369.9406021,372.2876921,nan,nan,nan,nan
1398489312,390.5192271,390.7304,363.5689207,358.4415382,nan,nan,nan,nan
1398489313,382.3682837,390.7304,357.1972394,351.5184613,nan,nan,nan,nan
1398489314,370.956963,378.7304,357.1972394,349.787692,nan,nan,nan,nan
1398489315,375.847529,402.7304,357.1972394,356.710769,nan,nan,nan,nan
1398489318,388.8890385,390.7304,366.7547614,360.1723075,nan,nan,nan,nan
1398489319,385.6286611,390.7304,366.7547614,361.9030767,nan,nan,nan,nan
1398489320,375.847529,390.7304,363.5689207,358.4415382,nan,nan,nan,nan
1398489321,367.6965856,366.7304,357.1972394,358.4415382,nan,nan,nan,nan
1398489323,370.956963,378.7304,363.5689207,353.2492305,nan,nan,nan,nan
1398489324,392.1494158,390.7304,363.5689207,361.9030767,nan,nan,nan,nan
1398489325,397.0399819,402.7304,369.9406021,365.3646152,nan,nan,nan,nan
1398489327,401.9305479,402.7304,369.9406021,372.2876921,nan,nan,nan,nan
1398489328,397.0399819,414.7304,369.9406021,367.0953844,nan,nan,nan,nan
1398489331,354.7637554,366.7304,347.6397173,341.1338458,nan,nan,nan,nan
1398489332,354.7637554,378.7304,354.0113987,348.0569228,nan,nan,nan,nan
1398489333,382.3682837,390.7304,366.7547614,365.3646152,nan,nan,nan,nan
1398489334,413.3418687,402.7304,379.4981241,382.6723076,nan,nan,nan,nan
1398489335,414.9720574,402.7304,382.6839648,382.6723076,nan,nan,nan,nan
1398489338,383.9984724,378.7304,360.3830801,358.4415382,nan,nan,nan,nan
1398489340,361.1758309,378.7304,350.825558,342.8646151,nan,nan,nan,nan
1398489341,356.3939441,390.7304,354.0113987,346.3261536,nan,nan,nan,nan
1398489342,374.2173403,378.7304,363.5689207,358.4415382,nan,nan,nan,nan
1398489343,382.3682837,402.7304,363.5689207,367.0953844,nan,nan,nan,nan
1398489344,398.6701706,402.7304,373.1264428,367.0953844,nan,nan,nan,nan
1398489347,392.1494158,414.7304,369.9406021,368.8261537,nan,nan,nan,nan
1398489348,390.5192271,378.7304,363.5689207,367.0953844,nan,nan,nan,nan
1398489349,387.2588498,390.7304,360.3830801,356.710769,nan,nan,nan,nan
1398489350,385.6286611,390.7304,357.1972394,353.2492305,nan,nan,nan,nan
1398489352,361.1758309,378.7304,350.825558,354.9799998,nan,nan,nan,nan
1398489354,366.0663969,390.7304,360.3830801,353.2492305,nan,nan,nan,nan
1398489355,377.4777177,390.7304,366.7547614,360.1723075,nan,nan,nan,nan
1398489356,390.5192271,402.7304,373.1264428,372.2876921,nan,nan,nan,nan
1398489357,401.9305479,414.7304,369.9406021,375.7492306,nan,nan,nan,nan
1398489360,382.3682837,378.7304,360.3830801,354.9799997,nan,nan,nan,nan
1398489362,369.3267743,390.7304,354.0113987,351.5184613,nan,nan,nan,nan
1398489363,372.5871516,402.7304,357.1972394,351.5184613,nan,nan,nan,nan
1398489364,374.2173403,390.7304,363.5689207,354.9799997,nan,nan,nan,nan
1398489365,377.4777177,390.7304,363.5689207,361.9030767,nan,nan,nan,nan
1398489366,383.9984724,390.7304,369.9406021,365.3646152,nan,nan,nan,nan
1398489368,387.2588498,402.7304,366.7547614,363.6338459,nan,nan,nan,nan
1398489370,379.1079064,390.7304,360.3830801,356.710769,nan,nan,nan,nan
1398489371,375.847529,390.7304,363.5689207,356.710769,nan,nan,nan,nan
1398489372,377.4777177,390.7304,360.3830801,360.1723075,nan,nan,nan,nan
1398489373,392.1494158,414.7304,366.7547614,360.1723075,nan,nan,nan,nan
1398489375,379.1079064,402.7304,363.5689207,361.9030767,nan,nan,nan,nan
1398489376,380.7380951,390.7304,366.7547614,360.1723075,nan,nan,nan,nan
1398489377,379.1079064,402.7304,360.3830801,351.5184613,nan,nan,nan,nan
1398489378,379.1079064,390.7304,360.3830801,353.2492305,nan,nan,nan,nan
1398489381,379.1079064,378.7304,363.5689207,363.6338459,nan,nan,nan,nan
1398489382,397.0399819,390.7304,366.7547614,365.3646152,nan,nan,nan,nan
1398489383,392.1494158,390.7304,363.5689207,361.9030767,nan,nan,nan,nan
1398489384,367.6965856,378.7304,360.3830801,354.9799998,nan,nan,nan,nan
1398489385,366.0663969,366.7304,357.1972394,354.9799997,nan,nan,nan,nan
1398489387,374.2173403,378.7304,360.3830801,353.2492305,nan,nan,nan,nan
1398489389,387.2588498,402.7304,363.5689207,365.3646152,nan,nan,nan,nan
1398489392,405.1909253,390.7304,369.9406021,368.8261537,nan,nan,nan,nan
1398489393,395.4097932,402.7304,363.5689207,365.3646152,nan,nan,nan,nan
1398489394,377.4777177,378.7304,360.3830801,356.710769,nan,nan,nan,nan
1398489395,346.612812,378.7304,350.825558,341.1338458,nan,nan,nan,nan
1398489397,380.7380951,390.7304,363.5689207,353.2492305,nan,nan,nan,nan
1398489398,390.5192271,390.7304,369.9406021,363.6338459,nan,nan,nan,nan
1398489399,401.9305479,402.7304,369.9406021,375.7492306,nan,nan,nan,nan
1398489400,401.9305479,402.7304,373.1264428,375.7492306,nan,nan,nan,nan
1398489402,372.5871516,402.7304,354.0113987,348.0569228,nan,nan,nan,nan
1398489404,354.7637554,390.7304,357.1972394,346.3261536,nan,nan,nan,nan
1398489405,366.0663969,390.7304,357.1972394,353.2492305,nan,nan,nan,nan
1398489406,383.9984724,402.7304,366.7547614,358.4415382,nan,nan,nan,nan
1398489407,400.3003592,402.7304,369.9406021,370.5569229,nan,nan,nan,nan
1398489409,392.1494158,390.7304,363.5689207,368.8261537,nan,nan,nan,nan
1398489412,364.4362082,390.7304,354.0113987,349.787692,nan,nan,nan,nan
1398489413,358.0241328,366.7304,354.0113987,341.1338458,nan,nan,nan,nan
1398489414,353.1335667,378.7304,357.1972394,346.3261536,nan,nan,nan,nan
1398489415,383.9984724,390.7304,366.7547614,361.9030767,nan,nan,nan,nan
1398489416,413.3418687,402.7304,376.3122835,372.2876921,nan,nan,nan,nan
1398489418,405.1909253,414.7304,373.1264428,377.4799999,nan,nan,nan,nan
1398489419,392.1494158,402.7304,366.7547614,368.8261537,nan,nan,nan,nan
1398489421,367.6965856,378.7304,354.0113987,344.5953843,nan,nan,nan,nan
1398489422,353.1335667,378.7304,344.4538767,332.4799996,nan,nan,nan,nan
1398489423,343.3524346,390.7304,354.0113987,339.4030766,nan,nan,nan,nan
1398489425,398.6701706,402.7304,376.3122835,372.2876921,nan,nan,nan,nan
1398489426,423.1230008,414.7304,382.6839648,382.6723076,nan,nan,nan,nan
1398489427,416.6022461,402.7304,376.3122835,380.9415383,nan,nan,nan,nan
1398489428,403.5607366,402.7304,369.9406021,374.0184614,nan,nan,nan,nan
1398489430,348.2430007,366.7304,338.0821953,327.2876919,nan,nan,nan,nan
1398489433,351.503378,390.7304,357.1972394,342.8646151,nan,nan,nan,nan
1398489434,388.8890385,390.7304,379.4981241,375.7492306,nan,nan,nan,nan
1398489435,437.7946989,426.7304,389.0556462,394.7876922,nan,nan,nan,nan
1398489436,441.0550763,402.7304,385.8698055,393.056923,nan,nan,nan,nan
1398489437,385.6286611,402.7304,360.3830801,361.9030767,nan,nan,nan,nan
1398489439,348.2430007,378.7304,350.825558,329.0184612,nan,nan,nan,nan
1398489441,336.8316799,354.7304,344.4538767,325.5569227,nan,nan,nan,nan
1398489442,344.9826233,378.7304,357.1972394,341.1338458,nan,nan,nan,nan
1398489443,372.5871516,402.7304,373.1264428,368.8261537,nan,nan,nan,nan
1398489444,424.7531895,426.7304,382.6839648,386.1338461,nan,nan,nan,nan
1398489446,408.4513026,414.7304,369.9406021,375.7492306,nan,nan,nan,nan
1398489447,370.956963,378.7304,354.0113987,351.5184613,nan,nan,nan,nan
1398489448,361.1758309,366.7304,350.825558,341.1338458,nan,nan,nan,nan
1398489449,346.612812,378.7304,341.268036,329.0184612,nan,nan,nan,nan
1398489453,408.4513026,402.7304,382.6839648,380.9415383,nan,nan,nan,nan
1398489455,390.5192271,402.7304,360.3830801,358.4415382,nan,nan,nan,nan
1398489456,380.7380951,390.7304,350.825558,351.5184613,nan,nan,nan,nan
1398489457,362.8060196,390.7304,354.0113987,346.3261536,nan,nan,nan,nan
1398489458,359.5456422,366.7304,347.6397173,344.5953843,nan,nan,nan,nan
1398489459,374.2173403,390.7304,357.1972394,351.5184613,nan,nan,nan,nan
1398489462,393.7796045,378.7304,373.1264428,367.0953844,nan,nan,nan,nan
1398489463,392.1494158,414.7304,366.7547614,367.0953844,nan,nan,nan,nan
1398489464,382.3682837,378.7304,360.3830801,356.710769,nan,nan,nan,nan
1398489465,374.2173403,390.7304,357.1972394,353.2492305,nan,nan,nan,nan
1398489467,366.0663969,378.7304,360.3830801,353.2492305,nan,nan,nan,nan
1398489468,387.2588498,390.7304,363.5689207,358.4415382,nan,nan,nan,nan
1398489469,390.5192271,390.7304,366.7547614,368.8261537,nan,nan,nan,nan
1398489471,388.8890385,402.7304,369.9406021,361.9030767,nan,nan,nan,nan
1398489472,379.1079064,402.7304,360.3830801,353.2492305,nan,nan,nan,nan
1398489473,370.956963,402.7304,360.3830801,353.2492305,nan,nan,nan,nan
1398489475,385.6286611,414.7304,369.9406021,361.9030767,nan,nan,nan,nan
1398489476,393.7796045,402.7304,363.5689207,361.9030767,nan,nan,nan,nan
1398489477,397.0399819,390.7304,363.5689207,361.9030767,nan,nan,nan,nan
1398489478,387.2588498,378.7304,360.3830801,358.4415382,nan,nan,nan,nan
1398489479,362.8060196,390.7304,357.1972394,354.9799998,nan,nan,nan,nan
1398489482,383.9984724,390.7304,366.7547614,354.9799997,nan,nan,nan,nan
1398489483,395.4097932,390.7304,369.9406021,361.9030767,nan,nan,nan,nan
1398489484,392.1494158,366.7304,363.5689207,367.0953844,nan,nan,nan,nan
1398489485,385.6286611,390.7304,363.5689207,365.3646152,nan,nan,nan,nan
1398489487,379.1079064,378.7304,360.3830801,356.710769,nan,nan,nan,nan
1398489488,374.2173403,366.7304,357.1972394,351.5184613,nan,nan,nan,nan
1398489489,375.847529,378.7304,360.3830801,354.9799998,nan,nan,nan,nan
1398489491,379.1079064,390.7304,360.3830801,356.710769,nan,nan,nan,nan
1398489492,383.9984724,378.7304,366.7547614,361.9030767,nan,nan,nan,nan
1398489494,390.5192271,378.7304,366.7547614,368.8261537,nan,nan,nan,nan
1398489496,385.6286611,402.7304,363.5689207,356.710769,nan,nan,nan,nan
1398489497,374.2173403,390.7304,357.1972394,354.9799998,nan,nan,nan,nan
1398489498,366.0663969,366.7304,357.1972394,353.2492305,nan,nan,nan,nan
1398489499,366.0663969,390.7304,354.0113987,353.2492305,nan,nan,nan,nan
1398489502,388.8890385,414.7304,363.5689207,356.710769,nan,nan,nan,nan
1398489503,393.7796045,390.7304,360.3830801,367.0953844,nan,nan,nan,nan
1398489504,380.7380951,378.7304,357.1972394,360.1723075,nan,nan,nan,nan
1398489505,377.4777177,390.7304,360.3830801,354.9799997,nan,nan,nan,nan
1398489506,374.2173403,390.7304,363.5689207,353.2492305,nan,nan,nan,nan
1398489508,369.3267743,414.7304,363.5689207,353.2492305,nan,nan,nan,nan
1398489510,387.2588498,390.7304,360.3830801,356.710769,nan,nan,nan,nan
1398489513,369.3267743,390.7304,360.3830801,358.4415382,nan,nan,nan,nan
1398489514,375.847529,390.7304,363.5689207,354.9799997,nan,nan,nan,nan
1398489515,382.3682837,390.7304,360.3830801,354.9799998,nan,nan,nan,nan
1398489517,385.6286611,366.7304,366.7547614,365.3646152,nan,nan,nan,nan
1398489518,383.9984724,390.7304,363.5689207,363.6338459,nan,nan,nan,nan
1398489519,385.6286611,366.7304,363.5689207,358.4415382,nan,nan,nan,nan
1398489520,379.1079064,402.7304,363.5689207,349.787692,nan,nan,nan,nan
1398489521,369.3267743,378.7304,360.3830801,353.2492305,nan,nan,nan,nan
1398489523,369.3267743,390.7304,360.3830801,356.710769,nan,nan,nan,nan
1398489525,390.5192271,390.7304,363.5689207,360.1723075,nan,nan,nan,nan
1398489526,392.1494158,402.7304,369.9406021,360.1723075,nan,nan,nan,nan
1398489527,388.8890385,402.7304,360.3830801,360.1723075,nan,nan,nan,nan
1398489528,372.5871516,390.7304,363.5689207,360.1723075,nan,nan,nan,nan
1398489529,366.0663969,378.7304,350.825558,348.0569228,nan,nan,nan,nan
1398489532,385.6286611,390.7304,369.9406021,367.0953844,nan,nan,nan,nan
1398489533,400.3003592,390.7304,369.9406021,375.7492306,nan,nan,nan,nan
1398489534,405.1909253,390.7304,366.7547614,370.5569229,nan,nan,nan,nan
1398489535,385.6286611,390.7304,357.1972394,356.710769,nan,nan,nan,nan
1398489537,343.3524346,378.7304,350.825558,342.8646151,nan,nan,nan,nan
1398489538,349.8731893,378.7304,360.3830801,348.0569228,nan,nan,nan,nan
1398489539,385.6286611,390.7304,363.5689207,356.710769,nan,nan,nan,nan
1398489541,414.9720574,402.7304,379.4981241,382.6723076,nan,nan,nan,nan
1398489542,388.8890385,390.7304,363.5689207,365.3646152,nan,nan,nan,nan
1398489544,359.5456422,390.7304,347.6397173,342.8646151,nan,nan,nan,nan
1398489546,361.1758309,390.7304,360.3830801,348.0569228,nan,nan,nan,nan
1398489547,383.9984724,402.7304,366.7547614,367.0953844,nan,nan,nan,nan
1398489548,387.2588498,378.7304,366.7547614,368.8261537,nan,nan,nan,nan
1398489549,395.4097932,390.7304,366.7547614,372.2876921,nan,nan,nan,nan
1398489552,385.6286611,402.7304,360.3830801,361.9030767,nan,nan,nan,nan
1398489553,367.6965856,402.7304,350.825558,344.5953843,nan,nan,nan,nan
1398489554,374.2173403,378.7304,357.1972394,356.710769,nan,nan,nan,nan
1398489555,379.1079064,402.7304,363.5689207,360.1723075,nan,nan,nan,nan
1398489556,383.9984724,390.7304,363.5689207,368.8261537,nan,nan,nan,nan
1398489558,379.1079064,402.7304,363.5689207,361.9030767,nan,nan,nan,nan
1398489560,362.8060196,402.7304,363.5689207,353.2492305,nan,nan,nan,nan
1398489561,380.7380951,390.7304,369.9406021,363.6338459,nan,nan,nan,nan
1398489562,393.7796045,390.7304,373.1264428,365.3646152,nan,nan,nan,nan
1398489563,398.6701706,402.7304,366.7547614,367.0953844,nan,nan,nan,nan
1398489565,387.2588498,402.7304,360.3830801,360.1723075,nan,nan,nan,nan
1398489567,369.3267743,390.7304,350.825558,349.787692,nan,nan,nan,nan
1398489568,361.1758309,378.7304,350.825558,349.787692,nan,nan,nan,nan
1398489569,362.8060196,378.7304,366.7547614,353.2492305,nan,nan,nan,nan
1398489570,377.4777177,390.7304,369.9406021,368.8261537,nan,nan,nan,nan
1398489574,380.7380951,402.7304,363.5689207,361.9030767,nan,nan,nan,nan
1398489576,366.0663969,378.7304,354.0113987,351.5184613,nan,nan,nan,nan
1398489577,367.6965856,390.7304,357.1972394,349.787692,nan,nan,nan,nan
1398489578,370.956963,378.7304,354.0113987,349.787692,nan,nan,nan,nan
1398489579,379.1079064,402.7304,363.5689207,360.1723075,nan,nan,nan,nan
1398489580,395.4097932,414.7304,376.3122835,368.8261537,nan,nan,nan,nan
1398489583,390.5192271,378.7304,360.3830801,361.9030767,nan,nan,nan,nan
1398489584,357.9154535,366.7304,350.825558,346.3261536,nan,nan,nan,nan
1398489585,358.0241328,390.7304,350.825558,344.5953843,nan,nan,nan,nan
1398489586,354.7637554,390.7304,350.825558,342.8646151,nan,nan,nan,nan
1398489588,369.3267743,378.7304,366.7547614,360.1723075,nan,nan,nan,nan
1398489590,405.1909253,426.7304,379.4981241,379.2107691,nan,nan,nan,nan
1398489591,406.821114,402.7304,373.1264428,379.2107691,nan,nan,nan,nan
1398489592,387.2588498,402.7304,357.1972394,351.5184613,nan,nan,nan,nan
1398489593,379.1079064,402.7304,354.0113987,351.5184613,nan,nan,nan,nan
